"Listado de Existencias		",,,,
"Reportes de inventario Fecha: 23/07/2025		",,,,
,,,,
"Codigo			","Nombre			",Modelo,Marca,
"020901042           		","STERIMAR BEBE SPRAY NASAL X 50 ML                                                         		",SOLUCION DE AGUA DE MAR                                                                   ,LYOCENTRE                                                                                 ,
"020901043           		","ALLEGRA PEDIATRICO SUSPENSION X 150 ML                                                    		",FEXOFENADINA 30 MG/5 ML                                                                   ,SANOFI                                                                                    ,
"020901044           		","NASAKEM SPRAY NASAL X 25 ML                                                               		",NAFAZOLINA CLORHIDRATO                                                                    ,MEDIKEM                                                                                   ,
"020901045           		","SSN GAMMA SPRAY NASAL X 50 ML                                                             		",SOLUCION SALINA                                                                           ,GAMMA                                                                                     ,
"020901046           		","LEVALER 5 MG X 10 CAPSULAS BLANDAS                                                        		",LEVOCETIRIZINA 5 MG                                                                       ,PROCAPS                                                                                   ,
"020901047           		","ALERCET 10 MG X 10 CAPSULAS                                                               		",CETIRIZINA 10 MG                                                                          ,PROCAPS                                                                                   ,
"020901048           		","AVAMYS SPRAY NASAL X 120 DOSIS                                                            		",FUROATO DE FLUTICASONA                                                                    ,GLAXO WELLCOME                                                                            ,
"020901049           		","AQUAMAR SPRAY NASAL X 50 ML                                                               		",CLORURO DE SODIO 9 MG                                                                     ,ARSAL                                                                                     ,
"020901050           		","ALERHESS 120 MG X 10 CAPSULAS                                                             		",FEXOFENADINA 120 MG                                                                       ,HESSEL                                                                                    ,
"020901051           		","MOMMEX SPRAY NASAL X 140 DOSIS                                                            		",FUROATO DE MOMETASONA                                                                     ,PAILL                                                                                     ,
"020901052           		","MOMMEX SPRAY NASAL X 60 DOSIS                                                             		",FUROATO DE MOMETASONA                                                                     ,PAILL                                                                                     ,
"020901053           		","ALLEGRA F X 10 COMPRIMIDOS                                                                		","FEXOFENADINA 60 MG, FENILEFRINA 25 MG                                                     ",SANOFI                                                                                    ,
"020901054           		","DESPEX                                                                                    		",DESLORATADINA 2.5                                                                         ,LUVECK                                                                                    ,
"020901055           		","LEVALER SOLUCION X 20 ML                                                                  		",LEVOCETIRIZINA 5 MG                                                                       ,PROCAPS                                                                                   ,
"020901056           		","CETIRIZINA TQ MK 10 MG X 10 TABLETAS                                                      		",CETIRIZINA 10 MG                                                                          ,MK                                                                                        ,
"020901057           		","CETIRIZINA FD 10 MG X 50 TABLETAS                                                         		",CETIRIZINA 10 MG                                                                          ,FARDEL                                                                                    ,
"020901058           		","LEVALER JARABE X 120 ML                                                                   		",LEVOCETIRIZINA                                                                            ,PROCAPS                                                                                   ,
"020901059           		","ALERCET D JARABE X 60 ML                                                                  		",CETIRIZINA 5 MG/FENILEFRINA 10 MG                                                         ,PROCAPS                                                                                   ,
"020901060           		","SIRYALE SPRAY NASAL X 150 APLICACIONES                                                    		",FUROATO DE MOMETASONA                                                                     ,GAMMA                                                                                     ,
"020901061           		","SIRYALE SPRAY NASAL X 75 APLICACIONES                                                     		",FUROATO DE MOMETASONA                                                                     ,GAMMA                                                                                     ,
"020901062           		","SSN GAMMA SOLUCION GOTAS NASALES X 30 ML                                                  		",SOLUCION SALINA                                                                           ,GAMMA                                                                                     ,
"020901063           		","LORATADINA ECOMED 10 MG X 100 TABLETAS                                                    		",LORATADINA 10 MG                                                                          ,ECOMED                                                                                    ,
"020901064           		","ALERCET D  X 10 CAPSULAS                                                                  		",CETIRIZINA 2HCI 5 MG/FENILEFRINA HCI 15 MG                                                ,PROCAPS                                                                                   ,
"020901065           		","BILAXTEN 20 MG X 10 COMPRIMIDOS                                                           		",BILASTINA 20 MG                                                                           ,FAES                                                                                      ,
"020901066           		","STERIMAR HYPERTONIC SPRAY NASAL X 100 ML                                                  		",SOLUCION DE AGUA DE MAR                                                                   ,LYOCENTRE                                                                                 ,
"020901067           		","CLORFENIRAMINA GAMMA 8 MG X 100 TABLETAS                                                  		",CLORFENIRAMINA 8 MG                                                                       ,GAMMA                                                                                     ,
"020901068           		","ESTABILEN 50 MG X 10 TABLETAS                                                             		",HIDROXICINA 50 MG                                                                         ,LOPEZ                                                                                     ,
"020901069           		","LECINA 5 MG X 10 TABLETAS                                                                 		",LEVOCETIRIZINA 5 MG                                                                       ,PHARMEDIC                                                                                 ,
"020901070           		","RUPAX 10 MG X 100 COMPRIMIDOS                                                             		",RUPATADINA 10 MG                                                                          ,MENARINI                                                                                  ,
"020901071           		","DESLORATADINA MK 5 MG X 10 TABLETAS                                                       		",DESLORATADINA 5 MG                                                                        ,MK                                                                                        ,
"020901072           		","LECINA SOLUCION X 120 ML                                                                  		",LEVOCETIRIZINA 2.5 MG                                                                     ,PHARMEDIC                                                                                 ,
"020901073           		","BUDENA 100 MCG SPRAY NASAL X 100 DOSIS                                                    		",BUDESONIDA 100 MCG                                                                        ,AGEFINSA                                                                                  ,
"020901074           		","CLORFENIRAMINA ECOMED 4 MG X 100 TABLETAS                                                 		",CLORFENIRAMINA 4 MG                                                                       ,ECOMED                                                                                    ,
"020901075           		","BENADRYL X 24 TABLETAS                                                                    		",CLORHIDRATO DE DIFENHIDRAMINA 25 MG                                                       ,JANSSEN                                                                                   ,
"020901076           		","CETRILER SOLUCION X 60 ML                                                                 		",CETIRIZINA  CLORHIDRATO 5 MG/5 ML                                                         ,PANALAB                                                                                   ,
"020901077           		","LERGI 10 MG X 10 TABLETAS                                                                 		",CETIRIZINA CLORHIDRATO 10 MG                                                              ,FARINSAL                                                                                  ,
"020901078           		","CLORFENIRAMINA ECOMED 8 MG X 100 TABLETAS                                                 		",CLORFENIRAMINA 8 MG                                                                       ,ECOMED                                                                                    ,
"020901079           		","HIDROXIN 25 MG X 30 TABLETAS                                                              		",HIDROXICINA 25 MG                                                                         ,HAUT PHARMA                                                                               ,
"020901080           		","RUPAX PEDIATRICO SOLUCION ORAL X 120 ML                                                   		",RUPATADINA BASE 1.00 MG                                                                   ,MENARINI                                                                                  ,
"020901081           		","ALERCET JARABE X 60 ML                                                                    		",CETIRIZINA DICLORHIDRATO 5 MG/5 ML                                                        ,PROCAPS                                                                                   ,
"020901082           		","PLERMIN SPRAY NASAL X 100 APLICACIONES                                                    		",FUROATO DE MOMETASONA 50 MCG                                                              ,PROCAPS                                                                                   ,
"020901083           		","PLERMIN SPRAY NASAL X 180 APLICACIONES                                                    		",FURATO DE MOMETASONA 50 MCG                                                               ,PROCAPS                                                                                   ,
"020901084           		","MINADYN 5 MG X 30 TABLETAS                                                                		",LEVOCETIRIZINA 5 MG                                                                       ,UNIPHARM PHARMANOVA                                                                       ,
"020901085           		","SOLSANA GOTAS NASALES X 30 ML                                                             		",CLORURO DE SODIO 0.9G/100 ML                                                              ,MEDIKEM                                                                                   ,
"020901086           		","LORATADINA FD JARABE X 60 ML                                                              		",LORATADINA 5.0 MG/5 ML                                                                    ,FARDEL                                                                                    ,
"020901087           		","IPRAMIST SPRAY NASAL X 15 ML                                                              		",BROMURO DE IPRATROPIO MONOHIDRATO 0.044                                                   ,GAMMA                                                                                     ,
"020901088           		","NASABEN 64 MCG SPRAY NASAL X 120 DOSIS                                                    		",BUDESONIDA 64 MCG                                                                         ,AGEFINSA                                                                                  ,
"020901089           		","MINADYN 5MG                                                                               		",LEVOCETIRIZINA 5MG                                                                        ,UNIPHARM                                                                                  ,
"020901090           		","ALERFIN LATA X 10 GR                                                                      		",CLORFENIRAMINA MALEATO 10 MG                                                              ,LOPEZ                                                                                     ,
"020901091           		","SYNUX SPRAY NASAL X 100 ML                                                                		",CLORURO DE SODIO .09G                                                                     ,SOLARIS                                                                                   ,
"020901092           		","ANEPRYA 10 MG X 10 TABLETAS                                                               		",RUPATADINA 10 MG                                                                          ,MED PHARMA                                                                                ,
"020901093           		","CALADRYL X 100 ML                                                                         		",OXIDO DE ZINC 8%                                                                          ,JANSSEN                                                                                   ,
"020901094           		","FOSALER SPRAY NASAL X 20 ML                                                               		",AZELASTINA CLORHIDRATO.01MG/0.1ML                                                         ,MEDIKEM                                                                                   ,
"020901095           		","FOSALIN PEDIATRICO GOTAS NASALES X 20 ML                                                  		",OXIMETAZOLINA 0.25MG/ML                                                                   ,MEDIKEM                                                                                   ,
"020901096           		","BECLOXIM PEDIATRICO SPRAY NASAL X 20 ML                                                   		",OXIMETAZOLINA HCI 0.25MG                                                                  ,GENERIX                                                                                   ,
"020901097           		","DICLORSET JARABE 60 ML                                                                    		",CETIRIZINA DICLORHIDRATO 5 MG/5 ML                                                        ,TRINOMED                                                                                  ,
"020901098           		","ACEITE GOMENOLADO FD X 15 ML                                                              		",ESENCIA DE GOMENOL                                                                        ,FARDEL                                                                                    ,
"020901099           		","MAILEN 5 MG X 30 COMPRIMIDOS                                                              		",DESLORATADINA 5 MG                                                                        ,ROEMMERS                                                                                  ,
"020901100           		","DIMEGAN D JARABE X 60 ML                                                                  		",LORATADINA FENILIFRINA                                                                    ,SENOSIAN                                                                                  ,
"020901101           		","DIMEGAN D X 20 CAPSULAS                                                                   		",LORATADINA FENILEFRINA                                                                    ,SENOSIAN                                                                                  ,
"020901102           		","NASOXY 0.9% SOLUCION NASAL X 100 ML                                                       		",CLORURO DE SODIO 0.9%                                                                     ,ROEMMERS                                                                                  ,
"020901103           		","NASOXY 0.9% SOLUCION NASAL X 60 ML                                                        		",CLORURO DE SODIO 0.9%                                                                     ,ROEMMERS                                                                                  ,
"020901104           		","TROPIUM 21                                                                                		",BROMURO DE IPRATROPIO                                                                     ,GENERIX                                                                                   ,
"020901105           		","CETIRIZINA FD JARABE X 120 ML                                                             		",CETIRIZINA DICLORHIDRATO 5 MG/5 ML                                                        ,FARDEL                                                                                    ,
"020901106           		","ZIRTRALER D X 10 CAPSULAS                                                                 		",CETIRIZINA CLORHIDRATO 5 MG/FENILEFRINA CLORHIDRATO 15 MG                                 ,HESSEL                                                                                    ,
"020901107           		","GAMMAFLUX SPRAY NASAL X 120 DOSIS                                                         		",FUROATO DE FLUTICASONA 27.5 MCG                                                           ,GAMMA                                                                                     ,
"020901108           		","ANEPRYA                                                                                   		",RUPATADINA 1MG                                                                            ,MED PHARMA                                                                                ,
"020901109           		","FOSALIN SPRAY NASAL X 25 ML                                                               		",OXIMETAZOLINA HCI 0.5MG/ML                                                                ,MEDIKEM                                                                                   ,
"020901110           		","GICAP 5 MG X 10 COMPRIMIDOS                                                               		",DESLORATADINA 5 MG                                                                        ,BIOMED                                                                                    ,
"020901111           		","NASOCROM PEDIATRICO SPRAY NASAL X 60 DOSIS                                                		",FUROATO DE MOMETASONA 5 UG                                                                ,LANCASCO                                                                                  ,
"020901112           		","ALEXIA FORTE 180 MG X 10 TABLETAS                                                         		",FEXOFENADINA 180 MG                                                                       ,SAVAL                                                                                     ,
"020901113           		","RESPIREX SPRAY NASAL X 30 ML                                                              		",OXIMETAZOLINA .05 MG/ML                                                                   ,GAMMA                                                                                     ,
"020901114           		","REXACOR SPRAY NASAL X 180 APLICACIONES                                                    		",MOMETASONA FUROATO 50 UG                                                                  ,MEDIKEM                                                                                   ,
"020901115           		","RUSITAN 10 MG X 10 TABLETAS                                                               		",RUPATADINA FUMARATO 10 MG                                                                 ,LANCASCO                                                                                  ,
"020901116           		","OXALIP SPRAY NASAL X 18 ML                                                                		","MOMETASONA FUROATO, AZELASTINA CLORHIDRATO                                                ",ALTIAN PHARMA                                                                             ,
"020901117           		","BLASCAN 20 MG X 10 TABLETAS                                                               		",BILASTINA 20 MG                                                                           ,LANCASCO                                                                                  ,
"020901118           		","NASOCROM ADULTO SPRAY NASAL X 140 APLICACIONES                                            		",FUROATO DE MOMETASONA  50 MCG                                                             ,LANCASCO                                                                                  ,
"020901119           		","STERIMAR INFANTIL SPRAY NASAL X 50 ML                                                     		",SOLUCION DE AGUA DE MAR                                                                   ,LYOCENTRE                                                                                 ,
"020901120           		","BILAXTEN 20 MG X 30 COMPRIMIDOS                                                           		",BILASTINA 20 MG                                                                           ,FAES                                                                                      ,
"020901121           		","VIANASYL AV KIT PARA ENJUAGUE NASAL X 30 SOBRES                                           		",CLORURO DE SODIO                                                                          ,LANCASCO                                                                                  ,
"020901122           		","RINOSIL SPRAY NASAL X 15 ML                                                               		",OXIMETAZOLINA 0.5 MG                                                                      ,SUIZOS                                                                                    ,
"020901123           		","RINOVAL SPRAY NASAL 50 MCG X 120 DOSIS                                                    		",FUROATO DE MOMETASONA 50 MCG                                                              ,NICOLICH                                                                                  ,
"020901124           		","RESPIREX PEDIATRICO GOTAS NASALES X 15 ML                                                 		",OXIMETAZOLINA CLORHIDRATO                                                                 ,GAMMA                                                                                     ,
"020901125           		","DESLORATADINA CALOX 5 MG X 10 TABLETAS                                                    		",DESLORATADINA 5 MG                                                                        ,CALOX                                                                                     ,
"020901126           		","RUSITAN SOLUCION X 120 ML                                                                 		",RUPATADINA FUMARATO                                                                       ,LANCASCO                                                                                  ,
"020901127           		","FLUTIK AQ SPRAY X 120 DOSIS                                                               		",FUROATO DE FLUTICASONA                                                                    ,FARMEX                                                                                    ,
"020901128           		","GAMMALER JARABE X 240 ML                                                                  		",BROMFENIRAMINA 2 MG/5 ML                                                                  ,GAMMA                                                                                     ,
"020901129           		","ALERNO BD X 10 COMPRIMIDOS BUCODISPERSABLES                                               		",EBASTINA 20 MG                                                                            ,FAES                                                                                      ,
"020901130           		","BILAXTEN SOLUCION X 120 ML                                                                		",BILASTINA                                                                                 ,FAES                                                                                      ,
"020901131           		","BILAXTEN 10 MG X 10 COMPRIMIDOS                                                           		",BILASTINA 10 MG                                                                           ,FAES                                                                                      ,
"020901132           		","ALERNIX 10 MG X 10 TABLETAS                                                               		",RUPATADINA 10 MG                                                                          ,PHARMEDIC                                                                                 ,
"020901133           		","LORATANOVUM 10 MG X 10 TABLETAS                                                           		",LORATADINA 10 MG                                                                          ,NOVUM                                                                                     ,
"020901134           		","CETIRIZINA CALOX 10 MG X 30 TABLETAS                                                      		",CETIRIZINA 10 MG                                                                          ,CALOX                                                                                     ,
"020901135           		","ALERNIX SOLUCION X 120 ML                                                                 		",RUPATADINA                                                                                ,PHARMEDIC                                                                                 ,
"020901136           		","CLORFENIRAMINA MALEATO GAMMA X 120 ML                                                     		",CLORFENIRAMINA                                                                            ,GAMMA                                                                                     ,
"020901137           		","OTRIVINA NIÑOS GOTAS NASALES X 10 ML                                                      		",CLORIDATO DE XILOMETAZOLINA                                                               ,NOVARTIS                                                                                  ,
"020901138           		","FLUTIMIST A SPRAY NASAL X 120 DOSIS                                                       		",PROPIONATO DE FLUTICASONA/CLORHIDRATO DE AZELASTINA                                       ,LANCASCO                                                                                  ,
"020901139           		","NOVASONE SPRAY NASAL X 140 APLICACIONES                                                   		",FUROATO DE MOMETASONA 50 MCG                                                              ,NOVAMEDIC                                                                                 ,
"020901140           		","RUPALER 1MG/ML SABOR VAINILLA X 120 ML                                                    		",RUPATADINA                                                                                ,MEDIKEM                                                                                   ,
"020901141           		","LORAGEN 10 MG X 20 COMPRIMIDOS                                                            		",LORATADINA 10 MG                                                                          ,GENERIX                                                                                   ,
"020901142           		","RINOPAX 10 MG X 10 COMPRIMIDOS                                                            		",RUPATADINA 10 MG                                                                          ,INFASA                                                                                    ,
"020901143           		","RUPARIUS SOLUCION ORAL X 120 ML                                                           		",RUPATADINA 1 MG/ML                                                                        ,ANDIFAR                                                                                   ,
"020901144           		","RUPARIUS 10 MG X 10 TABLETAS                                                              		",RUPATADINA 10 MG                                                                          ,ANDIFAR                                                                                   ,
"020901145           		","ALERFIN MAX X 30 TABLETAS                                                                 		",CETIRIZINA 10 MG                                                                          ,RODIM                                                                                     ,
"020901146           		","MEGATADINA 10 MG X 30 TABLETAS                                                            		",RUPATADINA 10 MG                                                                          ,ROEMMERS                                                                                  ,
"020901147           		","MEGATADINA SOLUCION X 120 ML                                                              		",RUPATADINA                                                                                ,ROEMMERS                                                                                  ,
"020901148           		","LECINA D SUSPENSION X 120 ML                                                              		",LEVOCETIRIZINA FENILEFRINA                                                                ,PHARMEDIC                                                                                 ,
"020901149           		","NEILMED PEDIAMIST KIDS SPRAY NASAL X 75 ML                                                		",SOLUCION SALINA                                                                           ,NEILMED                                                                                   ,
"020901150           		","NEILMED NASA MIST SPRAY NASAL X 75 ML                                                     		",SOLUCION SALINA                                                                           ,NEILMED                                                                                   ,
"020901151           		","NEILMED SINUS RINSE NINOS KIT ENJUAGUE X 30 SOBRES                                        		",SOLUCION SALINA                                                                           ,NEILMED                                                                                   ,
"020901152           		","NEILMED SINUS RINSE ADULTO KIT ENJUAGUE X 60 SOBRE                                        		",SOLUCION SALINA                                                                           ,NEILMED                                                                                   ,
"020901153           		","NEILMED SINUS RINSE ALL NATURAL X 50 PACKETS REFIL                                        		",SOLUCION SALINA                                                                           ,MEDITECH                                                                                  ,
"020901154           		","CETIRIZINA SAIMED 10 MG X 100 TABLETAS                                                    		",CETIRIZINA 10 MG                                                                          ,SAIMED                                                                                    ,
"020901155           		","NOVALER 10 MG X 10 COMPRIMIDOS                                                            		",RUPATADINA 10 MG                                                                          ,NOVAMEDIC                                                                                 ,
"020901156           		","RENESTEX 10 MG X 30 CAPSULAS                                                              		",LEVOCETIRIZINA 5MG/MONTELUKAST 10MG                                                       ,PROCAPS                                                                                   ,
"020901157           		","RUPATADIM 10 MG CAJA X 50 TABLETAS RECUBIERTAS                                            		",RUPATADINA 10 MG                                                                          ,RODIM                                                                                     ,
"020901158           		","NASONEX SPRAY NASAL 0.05% X 18 G                                                          		",MOMETASONA FUROATO                                                                        ,ORGANON                                                                                   ,
"020901159           		","NASONEX SPRAY NASAL 0.05% INFANTIL X 10 G                                                 		",MOMETASONA                                                                                ,ORGANON                                                                                   ,
"020901160           		","RINADALT 60 MG /25 MG X 10 COMPRIMIDOS                                                    		",FEXOFENADINA CLORHIDRATO 60 MG/ FENILEFRINA CORHIDRATO 25 MG                              ,ALTIAN PHARMA                                                                             ,
"020901161           		","SSN GAMMA SPRAY NASAL X 100 ML                                                            		",SOLUCION SALINA                                                                           ,GAMMA                                                                                     ,
,,,,
"021000               MEDICAMENTOS/ANTIALERGICOS NATURALES/ALERGIAS                                   		",,,,
"021000157           		","ALERGVID MC X 30 CAPSULAS                                                                 		",ESCUTELARIA/FENOGRECO/PAPRIKA/PEREGIL                                                     ,PRONAVID                                                                                  ,
"021000158           		","ALERSIL SABOR FRESA X 20 TABLETAS                                                         		",ECHINACEA/SOLIDAGO/RAIZ DE ARNICA/                                                        ,SUIZOS                                                                                    ,
,,,,
"021101               MEDICAMENTOS/ANTIBIOTICOS INYECTABLES/ANTIBIOTICOS Y CICATRIZANTES              		",,,,
"021101001           		","BIOMIKIN 500 MG AMPOLLA X 2 ML                                                            		",AMIKACINA 500 MG                                                                          ,PAILL                                                                                     ,
"021101002           		","GARAXIL 160 MG X 2 ML IM                                                                  		",GENTAMICINA 160 MG/2 ML                                                                   ,PAILL                                                                                     ,
"021101003           		","UNICILINA 4,000.000 AMPOLLA                                                               		","PENICILINA PROCAINICA, PENICILINA SODICA                                                  ",UNIPHARM PHARMANOVA                                                                       ,
"021101004           		","UNICIL 6-3-3 AMPOLLA                                                                      		","PENICILINA BENZATINICA, PROCAINICA, SODICA                                                ",UNIPHARM PHARMANOVA                                                                       ,
"021101005           		","UNICIL L-A 1,200,000 IM                                                                   		",PENICILINA BENZATINICA                                                                    ,UNIPHARM PHARMANOVA                                                                       ,
"021101006           		","AMIKACINA NORMON 500 MG X 2 ML                                                            		",AMIKACINA 500 MG                                                                          ,NORMON                                                                                    ,
"021101007           		","BIOGENTA 160 MG AMPOLLA                                                                   		",GENTAMICINA 160 MG/2 ML                                                                   ,CHALVER                                                                                   ,
"021101008           		","AXTAR 1 GR IM AMPOLLA TRIPACK                                                             		",CEFTRIAXONA 1 GRAMO                                                                       ,UNIPHARM PHARMANOVA                                                                       ,
"021101009           		","CEFTRIAXONA MK 1 GR IM X 1 AMPOLLA                                                        		",CEFTRIAXONA 1 GRAMO                                                                       ,MK                                                                                        ,
"021101010           		","PENDIBEN 1,200,000 AMPOLLA IM X 5 ML                                                      		","PENICILINA G BENZATINICA, LIDOCAINA                                                       ",BAGO N\DEVOLUTIVO                                                                         ,
"021101011           		","CEFTRIAXONA NORMON 1 GR X 3 AMPOLLAS IM                                                   		",CEFTRIAXONA 1 GRAMO                                                                       ,NORMON                                                                                    ,
"021101012           		","PENDIBEN 2,400,000 AMPOLLA IM X 10 ML                                                     		","PENICILINA G BENZATINICA, LIDOCAINA                                                       ",BAGO N\DEVOLUTIVO                                                                         ,
"021101013           		","AXTAR 1 GM IV AMPOLLA                                                                     		",CEFTRIAXONA 1 GRAMO                                                                       ,UNIPHARM PHARMANOVA                                                                       ,
"021101014           		","ROCEFORT 1 GR IM X 1 AMPOLLA                                                              		",CEFTRIAXONA 1 GRAMO                                                                       ,VIJOSA                                                                                    ,
"021101015           		","GENTAMICINA VIJOSA 160 MG X 2 ML                                                          		",GENTAMICINA 160 MG/2 ML                                                                   ,VIJOSA                                                                                    ,
"021101016           		","UNICIL LA 2400000 IM                                                                      		",PENICILINA BENZATINICA                                                                    ,UNIPHARM PHARMANOVA                                                                       ,
"021101017           		","ROFEMED 1 G X 3 AMPOLLAS IM                                                               		",CEFTRIAXONA 1 GRAMO                                                                       ,MED PHARMA                                                                                ,
"021101018           		","CEFTRIAXONA MK 1 GR IV X 1 AMPOLLA                                                        		",CEFTRIAXONA 1 GRAMO                                                                       ,MK                                                                                        ,
"021101019           		","AXTAR 0.5 GR IM AMPOLLA TRIPACK                                                           		",CEFTRIAXONA 0.5 GRAMO                                                                     ,UNIPHARM PHARMANOVA                                                                       ,
"021101020           		","CEFTRIGAM 1 GRAMO                                                                         		",CEFTRIAXONA 1 GRAMO                                                                       ,GAMMA                                                                                     ,
"021101021           		","BETASPORINA TRIPACK X 1 GRAMO IM                                                          		",CEFTRIAXONA 1 GRAMO                                                                       ,ATRAL CIPAN                                                                               ,
"021101022           		","BETASPORINA 1 G X 1 AMPOLLA                                                               		",CEFTRIAXONA 1 GRAMO                                                                       ,ATRAL CIPAN                                                                               ,
"021101023           		","VANCONOR 500MG X 1 VIAL IV                                                                		",VANCOMICINA HIDROCLORURO                                                                  ,NORMON                                                                                    ,
"021101024           		","ROCEFORT 1 GRAMO I.V. X 1 AMPOLLLA                                                        		",CEFTRIAXONA 1 GRAMO                                                                       ,VIJOSA                                                                                    ,
"021101025           		","BROTZON POLVO PARA SOLUCION IM 1 G. X 1                                                   		",CEFTRIAXONA 1 GRAMO                                                                       ,CAPLIN POINT                                                                              ,
"021101026           		","PRIMERIS SOLUCION INYECTABLE IV X 1 VIAL /20ML                                            		",LEVOFLOXACINA 25MG/ML                                                                     ,PANALAB                                                                                   ,
